,plot_id,Station_id,Treatment_2,sp_id,Elevation,log_init_height,log_LA,log_SMF,log_SRL,log_RGR_plus_1,log_ConNeigh,log_HetNeigh,Treatment_factor
86,3,3,0,19,300,-0.364535128,0.377163053,-0.562566098,0.422911245,-0.458920102,0.168476673,-0.255029407,Control
87,3,3,0,19,300,0.949898694,0.333218133,-0.208552281,-0.46893909,-0.890556803,0.168476673,-0.255029407,Control
88,3,3,0,19,300,0.069704724,-0.92133672,0.308254844,-0.064737628,-0.894537675,0.168476673,-0.255029407,Control
89,3,3,0,19,300,0.867610377,0.067717582,0.41603411,-0.358148742,-0.556544115,0.168476673,-0.255029407,Control
90,3,3,0,19,300,-0.084026969,-0.363054614,-0.889720932,-1.159766162,-0.730617988,0.168476673,-0.255029407,Control
91,3,3,0,19,300,-1.395458469,-1.711910923,0.544938833,-2.512066411,-0.672693024,0.168476673,-0.255029407,Control
92,3,3,0,22,300,-0.869676394,0.517955366,-1.516334269,-0.359983236,0.506622698,-0.761289746,0.15100733,Control
93,3,3,0,23,300,1.246902958,0.463920218,-0.77186221,0.530473937,-0.641721898,-0.761289746,0.15100733,Control
94,3,3,0,34,300,1.36099614,0.864514877,-0.291480075,-0.537442881,-0.374609245,-0.296406537,-0.052011039,Control
95,3,3,0,34,300,0.466870843,0.687335227,-1.224198802,-0.450646802,-0.357483559,-0.296406537,-0.052011039,Control
96,3,3,0,34,300,0.142060993,0.885279488,-0.211455501,0.217642848,-0.034027674,-0.296406537,-0.052011039,Control
97,3,3,0,34,300,-1.131572094,-1.504214701,0.617627789,-0.041287881,0.049434542,-0.296406537,-0.052011039,Control
98,3,3,0,38,300,-1.028999048,0.90546177,-1.409075883,0.327887776,1.943210007,-0.761289746,0.15100733,Control
99,3,3,0,43,300,-1.028999048,0.864779049,-0.461771941,1.622867468,1.263348436,-0.606328677,0.083334541,Control
100,3,3,0,43,300,-0.869676394,-1.233170426,-1.248439677,0.198661141,-0.385304578,-0.606328677,0.083334541,Control
101,3,3,0,47,300,-0.044388458,-1.413291469,0.735108161,0.134052741,-1.035547245,-0.606328677,0.083334541,Control
102,3,3,0,47,300,-0.484766502,-1.198415763,0.715754156,-0.79289328,-0.678945703,-0.606328677,0.083334541,Control
103,3,3,0,57,300,1.166764162,0.397251378,0.138825473,-0.54973802,-0.778986438,-0.296406537,-0.052011039,Control
104,3,3,0,57,300,1.602827347,1.465050008,0.768722254,-2.208304629,-0.174934421,-0.296406537,-0.052011039,Control
105,3,3,0,57,300,1.468503257,0.982879487,0.10224427,-1.448771008,-0.365772425,-0.296406537,-0.052011039,Control
106,3,3,0,57,300,1.072285002,0.26172076,0.139280937,1.489753994,-0.856615703,-0.296406537,-0.052011039,Control
107,4,4,0,2,300,-1.203232457,-1.437770092,-0.770620796,1.836229194,-1.011692881,-0.761289746,0.895408016,Control
108,4,4,0,3,300,-0.751354748,0.228266739,-1.182632579,0.156007046,0.631660435,-0.761289746,0.895408016,Control
109,4,4,0,11,300,0.343656378,-1.702509511,0.751761481,-1.77804209,-0.875106753,0.633359882,0.286352909,Control
110,4,4,0,11,300,-0.186978008,-0.842477841,-0.094600882,-1.752025854,-0.435536609,0.633359882,0.286352909,Control
111,4,4,0,11,300,1.166764162,0.010566202,0.081630893,0.033109301,-0.672559971,0.633359882,0.286352909,Control
112,4,4,0,11,300,0.088058959,0.286598228,-0.346411509,-2.541680769,0.29381679,0.633359882,0.286352909,Control
113,4,4,0,11,300,1.735671767,0.334182281,0.00843235,-1.2026259,-0.723822431,0.633359882,0.286352909,Control
114,4,4,0,11,300,2.008785203,0.196849064,0.253884822,-1.940303332,-0.695600088,0.633359882,0.286352909,Control
115,4,4,0,11,300,1.424460077,-0.531269969,0.67146255,-1.705297454,-1.02259399,0.633359882,0.286352909,Control
116,4,4,0,11,300,1.050622668,-0.084986925,-0.209150195,-0.948015158,-0.411161517,0.633359882,0.286352909,Control
117,4,4,0,11,300,1.928932705,-0.266824105,0.528308791,-0.425187687,-0.691498547,0.633359882,0.286352909,Control
118,4,4,0,11,300,0.995338501,-0.548911396,0.135155962,-1.385374625,-0.887665555,0.633359882,0.286352909,Control
119,4,4,0,14,300,1.586557028,1.807005268,0.052570384,-1.158282446,-0.167657367,-0.761289746,0.895408016,Control
120,4,4,0,19,300,0.142060993,-0.149854461,0.844916897,0.61105429,-0.455032719,0.323437742,0.421698489,Control
121,4,4,0,19,300,1.135800462,0.32442923,0.268983865,-0.310193181,-0.930906155,0.323437742,0.421698489,Control
122,4,4,0,19,300,0.406282097,0.30069528,-0.071566545,0.089079263,-0.608776884,0.323437742,0.421698489,Control
123,4,4,0,19,300,0.806524913,0.601549982,-0.064050563,-0.578444296,-0.532444958,0.323437742,0.421698489,Control
124,4,4,0,19,300,0.069704724,0.423906705,0.642751269,1.317685375,-0.143988945,0.323437742,0.421698489,Control
125,4,4,0,19,300,0.691254766,0.55415624,0.170394251,-0.956157405,-0.432123713,0.323437742,0.421698489,Control
126,4,4,0,19,300,-0.251595112,0.275220501,0.403327919,-0.138698637,-0.159528533,0.323437742,0.421698489,Control
127,4,4,0,19,300,1.536875691,-0.469886806,0.919054584,-0.541804909,-0.942433415,0.323437742,0.421698489,Control
128,4,4,0,23,300,1.197221621,0.931602849,-2.24335013,0.556609079,-0.030652366,-0.606328677,0.827735226,Control
129,4,4,0,23,300,-0.165927618,-0.496628468,0.148986432,-1.24962154,-0.547746767,-0.606328677,0.827735226,Control
130,4,4,0,33,300,0.568379048,1.083521162,-0.978649074,0.364773896,-0.097611661,-0.761289746,0.895408016,Control
131,4,4,0,34,300,0.311535932,0.257865997,-0.697608324,1.305998162,-0.281436097,-0.451367607,0.760062437,Control
