,mean,sd,2.50%,97.50%,n_eff,Rhat4,,,
a_plot[31],0.184799245,1.007837293,-1.467908303,2.194772942,56.05995573,1.023162973,,,
a_station[20],0.128818096,1.035489985,-1.920695086,2.192607648,288.4273858,1.013411357,,,
a_plot[141],0.179118087,1.010320588,-1.482726866,2.192365352,56.2718883,1.022866324,,,
a_plot[10],0.186006157,1.008698025,-1.475517816,2.192309346,56.22017658,1.023101974,,,
a_plot[132],0.181645221,1.009303751,-1.478700629,2.191267498,56.20185362,1.022984345,,,
a_plot[73],0.182059118,1.008511747,-1.47580678,2.191236338,56.13148839,1.023113628,,,
a_station[21],0.129822684,1.034072426,-1.911547714,2.19051352,287.4640748,1.013352105,,,
a_plot[8],0.176607245,1.008750916,-1.48173893,2.190478193,56.12005671,1.023055937,,,
a_plot[32],0.180005,1.008007837,-1.473850636,2.19012425,56.04348859,1.023044075,,,
a_plot[144],0.171877582,1.008663208,-1.487056441,2.187810426,56.10638393,1.023038249,,,
a_plot[71],0.179132008,1.007646228,-1.476640288,2.18315529,56.01493124,1.023115109,,,
a_plot[13],0.168137982,1.00788289,-1.488034758,2.183148322,56.10125323,1.023106079,,,
a_plot[28],0.173962927,1.009290133,-1.484054209,2.18295517,56.13411895,1.023049219,,,
a_station[6],0.111937674,1.036314739,-1.940108554,2.180311693,287.4160496,1.013595532,,,
a_plot[37],0.165437627,1.007589967,-1.491365369,2.179703164,55.98918426,1.023023421,,,
a_plot[42],0.1645952,1.007806715,-1.492354727,2.177095405,56.03763779,1.023033045,,,
a_plot[54],0.167577133,1.009354772,-1.492789915,2.176724615,56.18723237,1.023031417,,,
a_plot[29],0.17154374,1.008252567,-1.484781569,2.175009328,56.0667515,1.023185993,,,
a_plot[77],0.169579123,1.009288269,-1.487573644,2.174517743,56.20297618,1.023037441,,,
a_plot[117],0.169698314,1.008497149,-1.487815538,2.174431534,56.01283252,1.023244998,,,
a_plot[30],0.16161319,1.008005946,-1.495103861,2.174027688,56.02912274,1.023058349,,,
a_plot[46],0.166870467,1.008120199,-1.490705032,2.171905759,56.05072193,1.02303169,,,
a_plot[58],0.15608885,1.010118448,-1.508610831,2.170918287,56.36582737,1.022938735,,,
a_station[8],0.108649032,1.034725476,-1.938940173,2.168776956,288.27385,1.013470651,,,
a_plot[72],0.160721623,1.008309188,-1.498032347,2.16753395,56.120887,1.023006121,,,
a_plot[78],0.154486988,1.008456907,-1.502536362,2.167183894,56.12259119,1.022965261,,,
a_plot[80],0.161866822,1.008583587,-1.495689042,2.167176557,56.07413417,1.023063318,,,
a_station[28],0.100514519,1.036524289,-1.944109779,2.166554576,288.3546326,1.013444138,,,
a_plot[115],0.153267751,1.008695322,-1.504526583,2.165305997,56.02531541,1.023146341,,,
a_plot[91],0.161637357,1.007714808,-1.494414283,2.16515892,55.99115121,1.023168824,,,
a_plot[126],0.156923941,1.009815009,-1.508445321,2.164783186,56.30497223,1.023002275,,,
a_plot[124],0.153691298,1.009466677,-1.505255099,2.16388405,56.12253647,1.0230935,,,
a_plot[21],0.151344411,1.008269736,-1.506295844,2.163563222,56.02127662,1.023137446,,,
a_plot[128],0.156031116,1.008579563,-1.506720852,2.163205158,56.17296927,1.02299975,,,
a_plot[97],0.153071648,1.007861253,-1.503752528,2.16299549,56.07097106,1.02301458,,,
a_plot[65],0.152555573,1.008370997,-1.505910762,2.159841843,56.16972455,1.023056348,,,
a_plot[108],0.146419716,1.010633057,-1.517462781,2.159788369,56.23692643,1.023077336,,,
a_station[4],0.093597182,1.035666224,-1.956107185,2.159300612,287.3413371,1.013543716,,,
a_plot[25],0.148327706,1.009519937,-1.513160297,2.158684763,56.23585785,1.023137455,,,
a_plot[61],0.14954798,1.008829539,-1.511989677,2.157456331,56.07544749,1.023079885,,,
a_plot[43],0.141887262,1.009374606,-1.520302112,2.156852763,56.19287832,1.02305711,,,
a_plot[134],0.140739656,1.009680223,-1.521642966,2.156730854,56.24230935,1.023047317,,,
a_plot[64],0.148449859,1.007853555,-1.51042778,2.155680886,56.00472572,1.023067931,,,
a_plot[18],0.14675438,1.008896244,-1.512586783,2.155502108,56.09212956,1.02307758,,,
a_plot[15],0.152853634,1.007994629,-1.503116718,2.155453952,56.01989737,1.023165113,,,
a_plot[44],0.145472065,1.009165084,-1.514538811,2.155219959,56.10352196,1.023065608,,,
a_plot[41],0.151058058,1.008378516,-1.507398832,2.154998571,56.09936544,1.023094564,,,
a_plot[75],0.137298884,1.007895141,-1.518500617,2.153866421,56.10794789,1.0230396,,,
a_station[49],0.089565232,1.03520627,-1.960074607,2.153542252,287.7370211,1.013430472,,,
a_station[47],0.087302245,1.035346425,-1.961055911,2.153431179,287.1672748,1.013404482,,,
a_plot[74],0.144674296,1.007954526,-1.512231843,2.15326589,55.99354919,1.023044156,,,
a_plot[105],0.144947452,1.0098513,-1.517975184,2.152806148,56.2877011,1.022912454,,,
a_plot[90],0.144816371,1.00974011,-1.519381313,2.151394104,56.28363874,1.023054672,,,
a_plot[16],0.142506663,1.00774712,-1.513542411,2.149961379,56.07533434,1.023077269,,,
a_station[40],0.081782345,1.03705189,-1.966001872,2.149183291,288.7329111,1.013475408,,,
a_plot[102],0.131491433,1.00871739,-1.526797412,2.14900828,56.08739022,1.023151386,,,
a_plot[83],0.144070839,1.008128628,-1.513750846,2.148085535,56.08550107,1.02303719,,,
a_plot[23],0.133751334,1.009006792,-1.523999986,2.14758589,56.04635068,1.023221672,,,
a_plot[27],0.140766267,1.007511881,-1.516232744,2.147426726,55.90147174,1.023272945,,,
a_plot[59],0.1387911,1.00845689,-1.517515438,2.146660513,56.04439826,1.023178734,,,
a_plot[53],0.133722399,1.008527082,-1.525119458,2.144332181,56.04707041,1.023070451,,,
a_plot[81],0.136881011,1.008567598,-1.521034063,2.143912582,56.03207534,1.023025441,,,
a_station[60],0.068403757,1.042827311,-1.986059758,2.143705707,291.8327684,1.01324597,,,
a_plot[45],0.137667165,1.008264292,-1.519329706,2.143549462,56.13293526,1.022942879,,,
a_plot[52],0.134678918,1.009037608,-1.52613092,2.143278943,56.12496612,1.023101562,,,
a_plot[99],0.138770898,1.007706475,-1.518951102,2.143268244,56.15027768,1.022988753,,,
a_station[70],0.066933417,1.041504855,-1.991263976,2.142033151,290.2668063,1.013348566,,,
a_plot[95],0.136121174,1.008882153,-1.525197362,2.142002475,56.09603694,1.023135844,,,
a_station[51],0.076153408,1.036565774,-1.977445001,2.141971327,288.4426068,1.013625021,,,
a_plot[22],0.133281725,1.008345218,-1.523401768,2.141819556,56.00598992,1.023080966,,,
a_plot[92],0.128817237,1.008445287,-1.530510459,2.14047375,56.05242508,1.023073873,,,
a_plot[33],0.13007908,1.008518045,-1.530759798,2.140311686,56.13189439,1.022898097,,,
a_plot[48],0.124648835,1.008897178,-1.529625267,2.139914818,56.15479536,1.022927029,,,
a_station[73],0.075534794,1.036177464,-1.968889434,2.139626772,287.8653867,1.013386752,,,
z,0.141831954,1.003751644,-1.505725293,2.139101482,55.57207095,1.023307251,,,
a_plot[111],0.130444335,1.009695124,-1.53135467,2.13860896,56.20225529,1.022953724,,,
a_station[16],0.078984627,1.034361356,-1.967556078,2.138113933,286.9173554,1.013560119,,,
a_plot[110],0.128450643,1.009105978,-1.532348208,2.13650499,56.17137952,1.023090947,,,
a_station[50],0.065463586,1.03593456,-1.983904962,2.134649806,287.804924,1.013481433,,,
a_plot[6],0.126066073,1.006920929,-1.52949695,2.133936421,56.1430051,1.022996689,,,
a_plot[88],0.128063133,1.007838346,-1.530316278,2.133185146,56.01494888,1.023124523,,,
a_plot[113],0.117238344,1.008830433,-1.543407466,2.132849922,56.07511763,1.023160699,,,
a_plot[142],0.117997501,1.00835978,-1.540193895,2.130968865,56.09768581,1.023057265,,,
a_plot[4],0.129696832,1.007641321,-1.528897829,2.129500242,56.0011305,1.023083154,,,
a_plot[101],0.113912206,1.009747769,-1.548114825,2.128529271,56.15039858,1.023060199,,,
a_plot[125],0.122547612,1.008459613,-1.539486264,2.128068225,56.12878483,1.02322386,,,
a_station[7],0.061534248,1.035960448,-1.986685822,2.127967522,287.0093419,1.013524096,,,
a_plot[84],0.123000768,1.008780951,-1.535834966,2.127709188,56.11353178,1.023089731,,,
a_plot[127],0.121696157,1.008051639,-1.536720878,2.127685747,56.04583552,1.023124996,,,
a_station[59],0.058208589,1.036387654,-1.990619895,2.126712417,287.8691747,1.01359607,,,
a_plot[24],0.12267009,1.009255473,-1.537534991,2.126699581,56.17354484,1.023065027,,,
a_station[18],0.069889527,1.036466022,-1.982166945,2.126147408,287.5737707,1.013456815,,,
a_plot[3],0.112371388,1.007709683,-1.549511958,2.126057725,56.00032729,1.02308149,,,
a_plot[19],0.119260916,1.008638357,-1.537452637,2.125983008,55.98999631,1.023185652,,,
a_station[38],0.061670954,1.035271955,-1.98562404,2.125145057,286.9622936,1.013553946,,,
a_plot[135],0.120166503,1.008304417,-1.540365823,2.125098916,55.97107059,1.023145434,,,
a_station[3],0.063140361,1.035376525,-1.985601,2.124564485,287.8551376,1.013363952,,,
a_plot[39],0.116628339,1.008418438,-1.538803682,2.123122949,56.0736126,1.022982472,,,
a_plot[118],0.107725104,1.010166567,-1.555568848,2.121584611,56.27287371,1.023046061,,,
a_station[9],0.058107566,1.034988089,-1.987121196,2.12152236,287.2909131,1.013459134,,,
a_station[34],0.058013753,1.035123039,-1.989773116,2.121516998,287.6215829,1.013511135,,,
a_plot[66],0.119187394,1.009192552,-1.541667932,2.120651287,56.22462287,1.023025155,,,
a_plot[47],0.108216726,1.008171816,-1.549464574,2.118463886,56.05326592,1.023156847,,,
a_plot[76],0.114659088,1.009840185,-1.551416422,2.117659725,56.1885148,1.023045896,,,
a_station[45],0.047840133,1.036741656,-2.001963843,2.116587727,287.8253166,1.01339922,,,
a_plot[69],0.120636323,1.0075538,-1.538309077,2.115925625,56.05372557,1.023115587,,,
a_plot[122],0.102272457,1.008349796,-1.557694581,2.115918028,56.03401659,1.023254954,,,
a_station[10],0.048015289,1.037252456,-2.006203542,2.115608207,288.2600329,1.013553469,,,
z2,0.059357153,1.030591631,-1.981412968,2.114283519,285.0604586,1.013597845,,,
a_plot[7],0.105656147,1.006910913,-1.550476005,2.114175025,55.99972624,1.023127014,,,
a_plot[5],0.109423002,1.008263973,-1.549832756,2.113542772,55.96328013,1.023220381,,,
a_plot[50],0.106869799,1.008951288,-1.557999529,2.113463648,56.10021639,1.023144374,,,
a_station[37],0.045483631,1.036958789,-2.003947204,2.112590359,288.0548535,1.013478695,,,
a_plot[138],0.102581242,1.009356976,-1.560293004,2.112475091,56.04831945,1.02309438,,,
a_plot[121],0.118141641,1.008962404,-1.54307683,2.111768577,56.12155483,1.023122169,,,
a_station[56],0.041413772,1.037624789,-2.004796605,2.110180887,288.9701075,1.013401258,,,
a_plot[123],0.110201902,1.007767112,-1.546766972,2.110002161,56.00762676,1.023142675,,,
a_station[48],0.047008083,1.035319841,-1.999297778,2.108875335,287.8222567,1.013428854,,,
a_plot[38],0.106762388,1.007923117,-1.552190705,2.108526294,56.01679151,1.023285192,,,
a_station[30],0.042582491,1.034944647,-2.004893116,2.108277361,288.160392,1.01356282,,,
a_plot[96],0.095012801,1.008923279,-1.566027822,2.107092544,55.9906655,1.02315196,,,
